"Year","Quarter","CountryOfAsylum","Reasons"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_nodocs"
2021,"Q3","CostaRica","Childwhynotschool_nointerest"
2021,"Q3","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q3","CostaRica","Childwhynotschool_nodocs"
2021,"Q3","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q3","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q3","CostaRica","Childwhynotschool_toolate"
2021,"Q3","CostaRica","Childwhynotschool_finished"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_toolate"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_nodocs"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_nointerest"
2021,"Q3","CostaRica","Childwhynotschool_nodocs"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_disease"
2021,"Q3","CostaRica","Childwhynotschool_disability"
2021,"Q3","CostaRica","Childwhynotschool_noschools"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_nointerest"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q3","CostaRica","Childwhynotschool_intransit"
2021,"Q3","CostaRica","Childwhynotschool_toolate"
2021,"Q3","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q3","CostaRica","Childwhynotschool_disability"
2021,"Q3","CostaRica","Childwhynotschool_nodocs"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_failedschool"
2021,"Q3","CostaRica","Childwhynotschool_nodocs"
2021,"Q3","CostaRica","Childwhynotschool_nomoney"
2021,"Q3","CostaRica","Childwhynotschool_finished"
2021,"Q3","CostaRica","Childwhynotschool_nointerest"
2021,"Q3","CostaRica","Childwhynotschool_disease"
2021,"Q3","CostaRica","Childwhynotschool_nodocs"
2021,"Q3","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_disease"
2021,"Q4","CostaRica","Childwhynotschool_disability"
2021,"Q4","CostaRica","Childwhynotschool_noschools"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_noinfo"
2021,"Q4","CostaRica","Childwhynotschool_disease"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nointerest"
2021,"Q4","CostaRica","Childwhynotschool_helphome"
2021,"Q4","CostaRica","Childwhynotschool_failedschool"
2021,"Q4","CostaRica","Childwhynotschool_finished"
2021,"Q4","CostaRica","Childwhynotschool_failedschool"
2021,"Q4","CostaRica","Childwhynotschool_notransport"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nointerest"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_failedschool"
2021,"Q4","CostaRica","Childwhynotschool_finished"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_failedschool"
2021,"Q4","CostaRica","Childwhynotschool_noinfo"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_disability"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_noschools"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_noinfo"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_noschools"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_intransit"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_nointerest"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_toolate"
2021,"Q4","CostaRica","Childwhynotschool_noschools"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nomoney"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_recentlyarrive"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nodocs"
2021,"Q4","CostaRica","Childwhynotschool_nointerest"
2022,"Q1","CostaRica","Childwhynotschool_nomoney"
2022,"Q1","CostaRica","Childwhynotschool_pregnancy"
2022,"Q1","CostaRica","Childwhynotschool_nomoney"
2022,"Q1","CostaRica","Childwhynotschool_nointerest"
2022,"Q1","CostaRica","Childwhynotschool_finished"
2022,"Q1","CostaRica","Childwhynotschool_recentlyarrive"
2022,"Q1","CostaRica","Childwhynotschool_nomoney"
2022,"Q1","CostaRica","Childwhynotschool_noinfo"
2022,"Q1","CostaRica","Childwhynotschool_nodocs"
2022,"Q1","CostaRica","Childwhynotschool_nomoney"
2022,"Q1","CostaRica","Childwhynotschool_recentlyarrive"
2022,"Q1","CostaRica","Childwhynotschool_recentlyarrive"
2022,"Q1","CostaRica","Childwhynotschool_childwork"
2022,"Q1","CostaRica","Childwhynotschool_nospot"
2022,"Q1","CostaRica","Childwhynotschool_nomoney"
2022,"Q1","CostaRica","Childwhynotschool_recentlyarrive"
2022,"Q1","CostaRica","Childwhynotschool_recentlyarrive"
2022,"Q1","CostaRica","Childwhynotschool_nointerest"
2022,"Q1","CostaRica","Childwhynotschool_recentlyarrive"
2022,"Q1","CostaRica","Childwhynotschool_recentlyarrive"
2022,"Q1","CostaRica","Childwhynotschool_recentlyarrive"
2022,"Q1","CostaRica","Childwhynotschool_failedschool"
2022,"Q1","CostaRica","Childwhynotschool_notransport"
